0	0
1.00083	1.26316
2.00167	1.26915
3.0025	1.39167
4.00334	1.43562
5.00417	1.46488
6.005	1.48716
7.00584	1.47268
8.00667	1.46425
9.00751	1.48497
10.0083	1.48341
11.0092	1.46274
12.01	1.47615
13.0108	1.48926
14.0117	1.46971
15.0125	1.4682
16.0133	1.48656
17.0142	1.48027
18.015	1.4656
19.0158	1.47687
20.0167	1.48919
21.0175	1.47031
22.0184	1.467
23.0192	1.48783
24.02	1.48002
25.0209	1.46187
26.0217	1.47996
27.0225	1.48734
28.0234	1.4676
29.0242	1.47049
30.025	1.4876
31.0259	1.47816
32.0267	1.46477
33.0275	1.47985
34.0284	1.48716
35.0292	1.46666
36.03	1.46981
37.0309	1.48938
38.0317	1.47648
39.0325	1.46312
40.0334	1.48437
41.0342	1.48609
42.035	1.46481
43.0359	1.47321
44.0367	1.48896
45.0375	1.47313
46.0384	1.46623
47.0392	1.4836
48.04	1.48502
49.0409	1.46608
50.0417	1.47307
51.0425	1.48968
52.0434	1.47296
53.0442	1.46415
54.045	1.48567
55.0459	1.48393
56.0467	1.46285
57.0475	1.47561
58.0484	1.4893
59.0492	1.47032
60.05	1.46616
61.0509	1.48546
62.0517	1.48175
63.0525	1.46506
64.0534	1.47569
65.0542	1.48906
66.0551	1.47126
67.0559	1.46671
68.0567	1.48774
69.0575	1.47994
70.0584	1.46223
71.0592	1.47951
72.0601	1.48819
73.0609	1.46717
74.0617	1.47045
75.0626	1.48907
76.0634	1.47787
77.0642	1.46505
78.0651	1.48
79.0659	1.48728
80.0667	1.46942
81.0676	1.46867
82.0684	1.48965
83.0692	1.47784
84.0701	1.46312
85.0709	1.48294
86.0717	1.48639
87.0726	1.4651
88.0734	1.47288
89.0742	1.48881
90.0751	1.47476
91.0759	1.46471
92.0767	1.48246
93.0776	1.48486
94.0784	1.46663
95.0792	1.47087
96.0801	1.48929
97.0809	1.47329
98.0817	1.46484
99.0826	1.48531
100.083	1.48279
