"u","v","w","rho","tauSGS","boundary1","boundary2","boundary3","sdf","solid","neiSolid","Points:0","Points:1","Points:2"
-0.13933,0.093527,3.726e-08,0.99974,0,0,0,0,101.01,0,0,0.5,0.60101,0.0050505
-0.13168,0.096632,0,0.99973,0,0,0,0,101.01,0,0,0.5,0.61111,0.0050505
-0.12352,0.099566,3.7261e-08,0.99971,0,0,0,0,101.01,0,0,0.5,0.62121,0.0050505
-0.11486,0.10231,3.7261e-08,0.9997,0,0,0,0,101.01,0,0,0.5,0.63131,0.0050505
-0.10573,0.10484,3.7264e-08,0.9997,0,0,0,0,101.01,0,0,0.5,0.64141,0.0050505
-0.096134,0.10714,3.7262e-08,0.99968,0,0,0,0,101.01,0,0,0.5,0.65151,0.0050505
-0.086084,0.10918,0,0.99967,0,0,0,0,101.01,0,0,0.5,0.66162,0.0050505
-0.075594,0.11095,0,0.99965,0,0,0,0,101.01,0,0,0.5,0.67172,0.0050505
-0.064674,0.11243,0,0.99965,0,0,0,0,101.01,0,0,0.5,0.68182,0.0050505
-0.05333,0.11359,0,0.99964,0,0,0,0,101.01,0,0,0.5,0.69192,0.0050505
-0.041563,0.11443,7.4528e-08,0.99962,0,0,0,0,101.01,0,0,0.5,0.70202,0.0050505
-0.029369,0.11491,1.8078e-12,0.99962,0,0,0,0,101.01,0,0,0.5,0.71212,0.0050505
-0.016736,0.11504,-3.7265e-08,0.99961,0,0,0,0,101.01,0,0,0.5,0.72222,0.0050505
-0.0036441,0.11478,0,0.99961,0,0,0,0,101.01,0,0,0.5,0.73232,0.0050505
0.0099369,0.11413,0,0.99961,0,0,0,0,101.01,0,0,0.5,0.74242,0.0050505
0.024049,0.11307,7.4532e-08,0.99959,0,0,0,0,101.01,0,0,0.5,0.75252,0.0050505
0.038749,0.11159,3.7266e-08,0.99959,0,0,0,0,101.01,0,0,0.5,0.76263,0.0050505
0.054108,0.10968,1.8079e-12,0.99959,0,0,0,0,101.01,0,0,0.5,0.77273,0.0050505
0.070216,0.10733,0,0.99959,0,0,0,0,101.01,0,0,0.5,0.78283,0.0050505
0.087187,0.10453,0,0.99959,0,0,0,0,101.01,0,0,0.5,0.79293,0.0050505
0.10515,0.10127,7.4532e-08,0.99959,0,0,0,0,101.01,0,0,0.5,0.80303,0.0050505
0.12426,0.097567,0,0.99961,0,0,0,0,101.01,0,0,0.5,0.81313,0.0050505
0.1447,0.093407,3.7266e-08,0.99961,0,0,0,0,101.01,0,0,0.5,0.82323,0.0050505
0.16667,0.088806,0,0.99961,0,0,0,0,101.01,0,0,0.5,0.83333,0.0050505
0.1904,0.083779,3.7265e-08,0.99961,0,0,0,0,101.01,0,0,0.5,0.84343,0.0050505
0.21614,0.078348,-1.8078e-12,0.99962,0,0,0,0,101.01,0,0,0.5,0.85353,0.0050505
0.24416,0.072546,-3.7265e-08,0.99962,0,0,0,0,101.01,0,0,0.5,0.86364,0.0050505
0.27474,0.06642,0,0.99964,0,0,0,0,101.01,0,0,0.5,0.87374,0.0050505
0.30817,0.060021,-1.8078e-12,0.99964,0,0,0,0,101.01,0,0,0.5,0.88384,0.0050505
0.34471,0.053422,0,0.99965,0,0,0,0,101.01,0,0,0.5,0.89394,0.0050505
0.38464,0.046708,0,0.99967,0,0,0,0,101.01,0,0,0.5,0.90404,0.0050505
0.42814,0.039978,7.4526e-08,0.99967,0,0,0,0,101.01,0,0,0.5,0.91414,0.0050505
0.47537,0.033348,0,0.99968,0,0,0,0,101.01,0,0,0.5,0.92424,0.0050505
0.5264,0.026947,3.7262e-08,0.99968,0,0,0,0,101.01,0,0,0.5,0.93434,0.0050505
0.58118,0.020913,-3.7261e-08,0.9997,0,0,0,0,101.01,0,0,0.5,0.94444,0.0050505
0.63953,0.015394,7.4524e-08,0.99971,0,0,0,0,101.01,0,0,0.5,0.95454,0.0050505
0.7011,0.010538,-1.8077e-12,0.99973,0,0,0,0,101.01,0,0,0.5,0.96465,0.0050505
0.76538,0.006483,1.8076e-12,0.99973,0,0,0,0,101.01,0,0,0.5,0.97475,0.0050505
0.83168,0.00335,-1.8076e-12,0.99974,0,0,0,0,101.01,0,0,0.5,0.98485,0.0050505
0.89914,0.0012313,1.8076e-12,0.99974,0,0,0,0,101.01,0,0,0.5,0.99495,0.0050505
0.96668,0.00017438,-1.8076e-12,0.99976,0,0,1,0,101.01,0,0,0.5,1.005,0.0050505
