"GxIBM_average","GxIBM_maximum","GxIBM_minimum","GxIBM_stddev","GyIBM_average","GyIBM_maximum","GyIBM_minimum","GyIBM_stddev","GzIBM_average","GzIBM_maximum","GzIBM_minimum","GzIBM_stddev","boundary1_average","boundary1_maximum","boundary1_minimum","boundary1_stddev","boundary2_average","boundary2_maximum","boundary2_minimum","boundary2_stddev","boundary3_average","boundary3_maximum","boundary3_minimum","boundary3_stddev","neiSolid_average","neiSolid_maximum","neiSolid_minimum","neiSolid_stddev","omega_average","omega_maximum","omega_minimum","omega_stddev","rho_average","rho_maximum","rho_minimum","rho_stddev","sdf_average","sdf_maximum","sdf_minimum","sdf_stddev","solid_average","solid_maximum","solid_minimum","solid_stddev","tauSGS_average","tauSGS_maximum","tauSGS_minimum","tauSGS_stddev","u0_average","u0_maximum","u0_minimum","u0_stddev","u_average","u_maximum","u_minimum","u_stddev","v_average","v_maximum","v_minimum","v_stddev","w_average","w_maximum","w_minimum","w_stddev","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3.3854e-08,0,0,0,0,0,0,0,0,1.9967,1.9967,1.9967,9.9986e-07,1.0024,1.0083,1,0.00071581,0.016677,0.016677,0.016677,5.3066e-09,0,0,0,0,0.00021552,0.00069119,0,0.00013133,0,0,0,0,0.048905,0.2213,-0.10737,0.049507,-0.00082699,0.01885,-0.016429,0.0052479,0.011351,0.13912,-0.093765,0.042489,1,0,17,0,1.5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.50034,0.50034,0.50034,1.6938e-08,0,0,0,0,0,0,0,0,1.9967,1.9967,1.9967,9.9986e-07,1.0024,1.0083,1,0.00073109,0.033344,0.033344,0.033344,8.854e-09,0,0,0,0,0.00019412,0.00058435,0,0.00011099,0,0,0,0,0.091298,0.33152,-0.12415,0.079529,-0.0027667,0.064846,-0.057635,0.018821,0.021069,0.23871,-0.14794,0.072707,1,0.016667,17,0.016667,1.5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00066751,0.00066751,0.00066751,2.2597e-11,0,0,0,0,0,0,0,0,1.9967,1.9967,1.9967,9.9986e-07,1.0024,1.0083,1,0.00074637,0.050011,0.050011,0.050011,1.2401e-08,0,0,0,0,0.00017271,0.00047752,0,9.0637e-05,0,0,0,0,0.13369,0.44173,-0.14094,0.10955,-0.0047063,0.11084,-0.098841,0.032394,0.030787,0.33829,-0.20212,0.10293,1,0.033333,17,0.033333,1.5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9967,1.9967,1.9967,9.9986e-07,1.0024,1.0083,1,0.00073925,0.066677,0.066677,0.066677,1.3273e-08,0,0,0,0,0.00015873,0.00042165,0,8.0603e-05,0,0,0,0,0.1578,0.46561,-0.13952,0.11323,-0.0066642,0.15728,-0.15131,0.05013,0.035209,0.3755,-0.19744,0.114,1,0.05,17,0.05,1.5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9967,1.9967,1.9967,9.9986e-07,1.0024,1.0083,1,0.00073209,0.083343,0.083343,0.083343,1.4141e-08,0,0,0,0,0.00014476,0.00036585,0,7.0583e-05,0,0,0,0,0.18189,0.48937,-0.13808,0.11688,-0.0086221,0.20372,-0.20379,0.067872,0.039624,0.41261,-0.19268,0.12505,1,0.066667,17,0.066667,1.5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9967,1.9967,1.9967,9.9986e-07,1.0024,1.0083,0.99998,0.00072725,166.26,166.26,166.26,2.8395e-05,0,0,0,0,0.00014416,0.00037283,0,7.2091e-05,0,0,0,0,0.19646,0.48185,-0.14032,0.11815,-0.010048,0.22071,-0.24347,0.081103,0.038997,0.41906,-0.21125,0.12781,1,0.083333,17,0.083333,1.5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9967,1.9967,1.9967,9.9986e-07,1.0023,1.0083,0.99995,0.00072241,332.89,332.89,332.89,5.6852e-05,0,0,0,0,0.00014359,0.00037997,0,7.363e-05,0,0,0,0,0.211,0.47424,-0.14256,0.11942,-0.011472,0.23762,-0.28311,0.094322,0.038357,0.42543,-0.22988,0.13055,1,0.1,17,0.1,1.5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9967,1.9967,1.9967,9.9986e-07,1.0023,1.0083,0.99998,0.00072562,333.56,333.56,333.56,5.6966e-05,0,0,0,0,0.00014348,0.00035315,0,7.1651e-05,0,0,0,0,0.22346,0.52627,-0.14057,0.1257,-0.013345,0.22983,-0.30592,0.10213,0.035781,0.40451,-0.24343,0.13355,1,0.11667,17,0.11667,1.5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9967,1.9967,1.9967,9.9986e-07,1.0023,1.0083,1,0.00072887,333.56,333.56,333.56,5.6966e-05,0,0,0,0,0.00014338,0.0003262,0,6.9657e-05,0,0,0,0,0.23592,0.57853,-0.13856,0.132,-0.01522,0.22194,-0.32866,0.10992,0.033197,0.38348,-0.25697,0.13655,1,0.13333,17,0.13333,1.5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9967,1.9967,1.9967,9.9986e-07,1.0023,1.0083,1,0.00072708,333.56,333.56,333.56,5.6966e-05,0,0,0,0,0.00014596,0.00037072,0,7.5311e-05,0,0,0,0,0.2427,0.64867,-0.13911,0.14056,-0.01823,0.22455,-0.35544,0.11462,0.029503,0.35526,-0.25093,0.13723,1,0.15,17,0.15,1.5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9967,1.9967,1.9967,9.9986e-07,1.0023,1.0083,1,0.00072525,333.56,333.56,333.56,5.6966e-05,0,0,0,0,0.00014856,0.00041564,0,8.1005e-05,0,0,0,0,0.24945,0.71891,-0.13966,0.14912,-0.021245,0.22721,-0.38225,0.1193,0.025804,0.32699,-0.24478,0.1379,1,0.16667,17,0.16667,1.5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9967,1.9967,1.9967,9.9986e-07,1.0023,1.0083,1,0.00072966,333.56,333.56,333.56,5.6966e-05,0,0,0,0,0.00015162,0.00042237,0,8.2257e-05,0,0,0,0,0.25345,0.73807,-0.18046,0.15612,-0.025086,0.23154,-0.40096,0.12268,0.020541,0.31635,-0.26288,0.13661,1,0.18333,17,0.18333,1.5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9967,1.9967,1.9967,9.9986e-07,1.0023,1.0083,1,0.00073412,333.56,333.56,333.56,5.6966e-05,0,0,0,0,0.00015468,0.00042885,0,8.3479e-05,0,0,0,0,0.25743,0.75689,-0.22153,0.1631,-0.028933,0.23588,-0.41962,0.12605,0.015268,0.30583,-0.28114,0.1353,1,0.2,17,0.2,1.5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9967,1.9967,1.9967,9.9986e-07,1.0023,1.0083,1,0.00073976,333.56,333.56,333.56,5.6966e-05,0,0,0,0,0.00016159,0.00041911,0,8.5876e-05,0,0,0,0,0.26225,0.73846,-0.18751,0.16345,-0.032504,0.23233,-0.42739,0.1292,0.0093369,0.33717,-0.29768,0.13584,1,0.21667,17,0.21667,1.5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9967,1.9967,1.9967,9.9986e-07,1.0023,1.0083,1,0.00074542,333.56,333.56,333.56,5.6966e-05,0,0,0,0,0.00016854,0.00040925,0,8.8282e-05,0,0,0,0,0.26708,0.71973,-0.15288,0.16373,-0.036074,0.22872,-0.43507,0.13235,0.0033999,0.36884,-0.31421,0.13639,1,0.23333,17,0.23333,1.5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9967,1.9967,1.9967,9.9986e-07,1.0023,1.0083,1,0.00074939,333.56,333.56,333.56,5.6966e-05,0,0,0,0,0.00017108,0.00044617,0,9.0748e-05,0,0,0,0,0.27406,0.71945,-0.11832,0.16133,-0.038631,0.23144,-0.43463,0.13588,-0.00077252,0.37634,-0.32284,0.1396,1,0.25,17,0.25,1.5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9967,1.9967,1.9967,9.9986e-07,1.0023,1.0083,1,0.00075335,333.56,333.56,333.56,5.6966e-05,0,0,0,0,0.00017359,0.00048353,0,9.3215e-05,0,0,0,0,0.28105,0.71934,-0.083749,0.1589,-0.041178,0.23422,-0.4341,0.13942,-0.0049283,0.38361,-0.33141,0.14284,1,0.26667,17,0.26667,1.5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9967,1.9967,1.9967,9.9986e-07,1.0022,1.0083,1,0.00075458,333.56,333.56,333.56,5.6966e-05,0,0,0,0,0.0001695,0.00048728,0,8.7441e-05,0,0,0,0,0.28765,0.74399,-0.083727,0.16076,-0.042931,0.24154,-0.43134,0.14337,-0.0066916,0.3806,-0.33766,0.14359,1,0.28333,17,0.28333,1.5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9967,1.9967,1.9967,9.9986e-07,1.0022,1.0083,1,0.00075578,333.56,333.56,333.56,5.6966e-05,0,0,0,0,0.00016533,0.00049066,0,8.1578e-05,0,0,0,0,0.29424,0.76891,-0.084079,0.16266,-0.044677,0.24891,-0.42855,0.14732,-0.0084291,0.37748,-0.34389,0.14431,1,0.3,17,0.3,1.5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9967,1.9967,1.9967,9.9986e-07,1.0022,1.0083,1,0.00075596,333.56,333.56,333.56,5.6966e-05,0,0,0,0,0.00016742,0.00046303,0,8.274e-05,0,0,0,0,0.29982,0.77131,-0.074258,0.16394,-0.045819,0.25977,-0.42477,0.15033,-0.0078063,0.36547,-0.3351,0.14335,1,0.31667,17,0.31667,1.5
