"GxIBM_average","GxIBM_maximum","GxIBM_minimum","GxIBM_stddev","GyIBM_average","GyIBM_maximum","GyIBM_minimum","GyIBM_stddev","GzIBM_average","GzIBM_maximum","GzIBM_minimum","GzIBM_stddev","boundary1_average","boundary1_maximum","boundary1_minimum","boundary1_stddev","boundary2_average","boundary2_maximum","boundary2_minimum","boundary2_stddev","boundary3_average","boundary3_maximum","boundary3_minimum","boundary3_stddev","neiSolid_average","neiSolid_maximum","neiSolid_minimum","neiSolid_stddev","omega_average","omega_maximum","omega_minimum","omega_stddev","rho_average","rho_maximum","rho_minimum","rho_stddev","sdf_average","sdf_maximum","sdf_minimum","sdf_stddev","solid_average","solid_maximum","solid_minimum","solid_stddev","tauSGS_average","tauSGS_maximum","tauSGS_minimum","tauSGS_stddev","u0_average","u0_maximum","u0_minimum","u0_stddev","u_average","u_maximum","u_minimum","u_stddev","v_average","v_maximum","v_minimum","v_stddev","w_average","w_maximum","w_minimum","w_stddev","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3.3854e-08,0,0,0,0,0,0,0,0,1.9967,1.9967,1.9967,9.9986e-07,1.0009,1.0012,0.99708,0.00053832,0.016677,0.016677,0.016677,5.3066e-09,0,0,0,0,5.4425e-05,0.00018456,0,3.4452e-05,0,0,0,0,0.0099488,0.049212,-0.047795,0.014067,0.00021306,0.011067,-0.0034894,0.0014416,0.00028233,0.026214,-0.033315,0.012006,1,0,11,0,1.5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.50034,0.50034,0.50034,1.6938e-08,0,0,0,0,0,0,0,0,1.9967,1.9967,1.9967,9.9986e-07,1.0009,1.0012,0.99707,0.00056061,0.033344,0.033344,0.033344,8.854e-09,0,0,0,0,4.8614e-05,0.00019637,0,3.1111e-05,0,0,0,0,0.016258,0.076727,-0.082441,0.024517,0.00080524,0.04045,-0.012598,0.0052528,0.00039897,0.044635,-0.063016,0.021358,1,0.016667,11,0.016667,1.5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00066751,0.00066751,0.00066751,2.2597e-11,0,0,0,0,0,0,0,0,1.9967,1.9967,1.9967,9.9986e-07,1.0009,1.0013,0.99706,0.0005829,0.050011,0.050011,0.050011,1.2401e-08,0,0,0,0,4.2802e-05,0.00020818,0,2.7771e-05,0,0,0,0,0.022568,0.10424,-0.11709,0.034967,0.0013974,0.069833,-0.021707,0.009064,0.00051561,0.063057,-0.092717,0.030711,1,0.033333,11,0.033333,1.5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9967,1.9967,1.9967,9.9986e-07,1.0009,1.0012,0.99706,0.00058008,0.066677,0.066677,0.066677,1.3273e-08,0,0,0,0,3.9882e-05,0.00020336,0,2.7557e-05,0,0,0,0,0.023562,0.10272,-0.12924,0.040424,0.0023176,0.10524,-0.033979,0.013939,0.00045665,0.081631,-0.11103,0.035333,1,0.05,11,0.05,1.5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9967,1.9967,1.9967,9.9986e-07,1.0009,1.0012,0.99705,0.00057722,0.083343,0.083343,0.083343,1.4141e-08,0,0,0,0,3.6966e-05,0.00019852,0,2.7347e-05,0,0,0,0,0.024549,0.10117,-0.14136,0.045873,0.0032382,0.14065,-0.046256,0.018815,0.00039745,0.1002,-0.12932,0.03995,1,0.066667,11,0.066667,1.5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9967,1.9967,1.9967,9.9986e-07,1.0009,1.0012,0.99707,0.00057101,166.26,166.26,166.26,2.8395e-05,0,0,0,0,3.6114e-05,0.00017456,0,2.6751e-05,0,0,0,0,0.023353,0.099811,-0.14517,0.048599,0.0042061,0.16854,-0.055834,0.022787,0.00021687,0.10854,-0.13874,0.041453,1,0.083333,11,0.083333,1.5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9967,1.9967,1.9967,9.9986e-07,1.0009,1.0011,0.99709,0.00056478,332.89,332.89,332.89,5.6852e-05,0,0,0,0,3.5269e-05,0.00015055,0,2.6154e-05,0,0,0,0,0.022151,0.098456,-0.14895,0.051318,0.005174,0.1964,-0.065404,0.026756,3.5955e-05,0.11685,-0.14813,0.042947,1,0.1,11,0.1,1.5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9967,1.9967,1.9967,9.9986e-07,1.0009,1.0011,0.99701,0.00056726,333.56,333.56,333.56,5.6966e-05,0,0,0,0,3.4853e-05,0.00015641,0,2.6504e-05,0,0,0,0,0.020038,0.098809,-0.15921,0.053042,0.0061141,0.21201,-0.067555,0.029266,-0.00030461,0.11248,-0.15128,0.043777,1,0.11667,11,0.11667,1.5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9967,1.9967,1.9967,9.9986e-07,1.0008,1.0011,0.99693,0.00056978,333.56,333.56,333.56,5.6966e-05,0,0,0,0,3.4439e-05,0.00016239,0,2.6859e-05,0,0,0,0,0.01792,0.09917,-0.16949,0.054762,0.0070541,0.22758,-0.069676,0.031771,-0.00064582,0.10806,-0.1544,0.044604,1,0.13333,11,0.13333,1.5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9967,1.9967,1.9967,9.9986e-07,1.0008,1.0011,0.99681,0.00057773,333.56,333.56,333.56,5.6966e-05,0,0,0,0,3.5395e-05,0.00015861,0,2.6697e-05,0,0,0,0,0.014882,0.097942,-0.18143,0.056531,0.0079481,0.22833,-0.065524,0.033078,-0.00084991,0.10609,-0.15463,0.045133,1,0.15,11,0.15,1.5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9967,1.9967,1.9967,9.9986e-07,1.0008,1.0011,0.9967,0.0005857,333.56,333.56,333.56,5.6966e-05,0,0,0,0,3.6358e-05,0.00015477,0,2.6532e-05,0,0,0,0,0.011839,0.096705,-0.19337,0.0583,0.0088418,0.229,-0.061339,0.034377,-0.0010533,0.10412,-0.15485,0.045661,1,0.16667,11,0.16667,1.5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9967,1.9967,1.9967,9.9986e-07,1.0008,1.0011,0.99671,0.00058466,333.56,333.56,333.56,5.6966e-05,0,0,0,0,3.8071e-05,0.00015949,0,2.7808e-05,0,0,0,0,0.0081412,0.096525,-0.2045,0.060743,0.0096847,0.21575,-0.056525,0.034914,-0.00089386,0.11423,-0.15315,0.045855,1,0.18333,11,0.18333,1.5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9967,1.9967,1.9967,9.9986e-07,1.0008,1.0011,0.99672,0.00058356,333.56,333.56,333.56,5.6966e-05,0,0,0,0,3.9788e-05,0.00016427,0,2.9094e-05,0,0,0,0,0.0044389,0.096353,-0.21563,0.063189,0.010527,0.20241,-0.051706,0.035447,-0.00073202,0.12441,-0.15144,0.046047,1,0.2,11,0.2,1.5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9967,1.9967,1.9967,9.9986e-07,1.0008,1.0011,0.99687,0.00057396,333.56,333.56,333.56,5.6966e-05,0,0,0,0,4.1264e-05,0.00017603,0,3.1233e-05,0,0,0,0,0.00077717,0.095675,-0.22404,0.065696,0.011321,0.18023,-0.054002,0.035575,9.8837e-06,0.13744,-0.14777,0.046682,1,0.21667,11,0.21667,1.5
