"GxIBM_average","GxIBM_maximum","GxIBM_minimum","GxIBM_stddev","GyIBM_average","GyIBM_maximum","GyIBM_minimum","GyIBM_stddev","GzIBM_average","GzIBM_maximum","GzIBM_minimum","GzIBM_stddev","boundary1_average","boundary1_maximum","boundary1_minimum","boundary1_stddev","boundary2_average","boundary2_maximum","boundary2_minimum","boundary2_stddev","boundary3_average","boundary3_maximum","boundary3_minimum","boundary3_stddev","neiSolid_average","neiSolid_maximum","neiSolid_minimum","neiSolid_stddev","omega_average","omega_maximum","omega_minimum","omega_stddev","rho_average","rho_maximum","rho_minimum","rho_stddev","sdf_average","sdf_maximum","sdf_minimum","sdf_stddev","solid_average","solid_maximum","solid_minimum","solid_stddev","tauSGS_average","tauSGS_maximum","tauSGS_minimum","tauSGS_stddev","u0_average","u0_maximum","u0_minimum","u0_stddev","u_average","u_maximum","u_minimum","u_stddev","v_average","v_maximum","v_minimum","v_stddev","w_average","w_maximum","w_minimum","w_stddev","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3.3854e-08,0,0,0,0,0,0,0,0,1.9967,1.9967,1.9967,9.9986e-07,1.0009,1.0013,0.99705,0.00052571,0.016677,0.016677,0.016677,5.3066e-09,0,0,0,0,0.0001226,0.0014433,0,0.00016392,0,0,0,0,-0.025294,0.057815,-0.47565,0.056724,0.0012127,0.01182,-0.0047522,0.0023323,-0.0012486,0.14737,-0.06857,0.026392,1,0,12,0,1.5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.50034,0.50034,0.50034,1.6938e-08,0,0,0,0,0,0,0,0,1.9967,1.9967,1.9967,9.9986e-07,1.0008,1.0012,0.99686,0.00051018,0.033344,0.033344,0.033344,8.854e-09,0,0,0,0,0.00011598,0.00092232,0,0.00011408,0,0,0,0,-0.048503,0.08826,-0.71921,0.089324,0.0045672,0.036736,-0.017064,0.0083207,-0.0017058,0.25491,-0.12338,0.045589,1,0.016667,12,0.016667,1.5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00066751,0.00066751,0.00066751,2.2597e-11,0,0,0,0,0,0,0,0,1.9967,1.9967,1.9967,9.9986e-07,1.0008,1.0012,0.99667,0.00049464,0.050011,0.050011,0.050011,1.2401e-08,0,0,0,0,0.00010936,0.00040139,0,6.4246e-05,0,0,0,0,-0.071713,0.1187,-0.96276,0.12192,0.0079217,0.061653,-0.029375,0.014309,-0.002163,0.36244,-0.17819,0.064787,1,0.033333,12,0.033333,1.5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9967,1.9967,1.9967,9.9986e-07,1.0008,1.0012,0.99681,0.00049029,0.066677,0.066677,0.066677,1.3273e-08,0,0,0,0,0.00010837,0.00032251,0,5.9086e-05,0,0,0,0,-0.09001,0.10345,-0.95745,0.12662,0.013266,0.08267,-0.048267,0.022932,-0.001885,0.40426,-0.20737,0.072909,1,0.05,12,0.05,1.5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9967,1.9967,1.9967,9.9986e-07,1.0008,1.0012,0.99695,0.00048595,0.083343,0.083343,0.083343,1.4141e-08,0,0,0,0,0.00010738,0.00024422,0,5.3985e-05,0,0,0,0,-0.1083,0.088139,-0.9518,0.13127,0.018613,0.10368,-0.067167,0.031559,-0.001606,0.44599,-0.23651,0.081016,1,0.066667,12,0.066667,1.5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9967,1.9967,1.9967,9.9986e-07,1.0008,1.0012,0.99693,0.00050065,166.26,166.26,166.26,2.8395e-05,0,0,0,0,0.00010428,0.00025088,0,5.3137e-05,0,0,0,0,-0.122,0.083219,-0.95032,0.13221,0.024596,0.13089,-0.081029,0.039746,-0.00098394,0.43719,-0.24546,0.083414,1,0.083333,12,0.083333,1.5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9967,1.9967,1.9967,9.9986e-07,1.0008,1.0012,0.99691,0.0005154,332.89,332.89,332.89,5.6852e-05,0,0,0,0,0.00010117,0.00025777,0,5.2301e-05,0,0,0,0,-0.1357,0.078327,-0.94886,0.13313,0.030582,0.15812,-0.094877,0.047931,-0.00036094,0.42825,-0.25436,0.085797,1,0.1,12,0.1,1.5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9967,1.9967,1.9967,9.9986e-07,1.0008,1.0012,0.99677,0.0005345,333.56,333.56,333.56,5.6966e-05,0,0,0,0,9.6417e-05,0.00024993,0,5.0983e-05,0,0,0,0,-0.14556,0.075618,-0.95439,0.13536,0.03612,0.19004,-0.10354,0.053958,0.0007554,0.38963,-0.2436,0.086334,1,0.11667,12,0.11667,1.5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9967,1.9967,1.9967,9.9986e-07,1.0008,1.0013,0.99663,0.00055361,333.56,333.56,333.56,5.6966e-05,0,0,0,0,9.1661e-05,0.00024203,0,4.9664e-05,0,0,0,0,-0.1554,0.072917,-0.95996,0.1376,0.041656,0.22198,-0.11219,0.059977,0.0018737,0.3509,-0.23275,0.086864,1,0.13333,12,0.13333,1.5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9967,1.9967,1.9967,9.9986e-07,1.0008,1.0012,0.99652,0.00056969,333.56,333.56,333.56,5.6966e-05,0,0,0,0,9.2164e-05,0.00025215,0,4.8048e-05,0,0,0,0,-0.16156,0.074069,-0.96914,0.14033,0.046246,0.24468,-0.11034,0.063415,0.0028483,0.31,-0.24751,0.086687,1,0.15,12,0.15,1.5
