"GxIBM_average","GxIBM_maximum","GxIBM_minimum","GxIBM_stddev","GyIBM_average","GyIBM_maximum","GyIBM_minimum","GyIBM_stddev","GzIBM_average","GzIBM_maximum","GzIBM_minimum","GzIBM_stddev","boundary1_average","boundary1_maximum","boundary1_minimum","boundary1_stddev","boundary2_average","boundary2_maximum","boundary2_minimum","boundary2_stddev","boundary3_average","boundary3_maximum","boundary3_minimum","boundary3_stddev","neiSolid_average","neiSolid_maximum","neiSolid_minimum","neiSolid_stddev","omega_average","omega_maximum","omega_minimum","omega_stddev","rho_average","rho_maximum","rho_minimum","rho_stddev","sdf_average","sdf_maximum","sdf_minimum","sdf_stddev","solid_average","solid_maximum","solid_minimum","solid_stddev","tauSGS_average","tauSGS_maximum","tauSGS_minimum","tauSGS_stddev","u0_average","u0_maximum","u0_minimum","u0_stddev","u_average","u_maximum","u_minimum","u_stddev","v_average","v_maximum","v_minimum","v_stddev","w_average","w_maximum","w_minimum","w_stddev","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3.3854e-08,0,0,0,0,0,0,0,0,1.9967,1.9967,1.9967,9.9986e-07,1.002,1.0063,0.99978,0.00058495,0.016677,0.016677,0.016677,5.3066e-09,0,0,0,0,0.00022313,0.00064908,0,0.00012683,0,0,0,0,-0.014424,0.20575,-0.12051,0.05905,-0.00064852,0.015098,-0.027221,0.005905,0.0036094,0.19072,-0.15528,0.056906,1,0,15,0,1.5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.50034,0.50034,0.50034,1.6938e-08,0,0,0,0,0,0,0,0,1.9967,1.9967,1.9967,9.9986e-07,1.002,1.0062,0.99971,0.00060091,0.033344,0.033344,0.033344,8.854e-09,0,0,0,0,0.00018892,0.00053849,0,0.00010816,0,0,0,0,-0.016005,0.28423,-0.18018,0.091682,-0.0023106,0.053257,-0.08536,0.020176,0.0072374,0.27653,-0.23828,0.09112,1,0.016667,15,0.016667,1.5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00066751,0.00066751,0.00066751,2.2597e-11,0,0,0,0,0,0,0,0,1.9967,1.9967,1.9967,9.9986e-07,1.002,1.0062,0.99964,0.00061686,0.050011,0.050011,0.050011,1.2401e-08,0,0,0,0,0.00015471,0.0004279,0,8.9482e-05,0,0,0,0,-0.017586,0.3627,-0.23984,0.12431,-0.0039726,0.091416,-0.1435,0.034448,0.010865,0.36234,-0.32128,0.12533,1,0.033333,15,0.033333,1.5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9967,1.9967,1.9967,9.9986e-07,1.002,1.0063,0.99963,0.00060818,0.066677,0.066677,0.066677,1.3273e-08,0,0,0,0,0.00015073,0.00041802,0,8.3425e-05,0,0,0,0,-0.01014,0.34047,-0.26917,0.12795,-0.0058651,0.13311,-0.19629,0.050919,0.014321,0.38113,-0.35917,0.13327,1,0.05,15,0.05,1.5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9967,1.9967,1.9967,9.9986e-07,1.002,1.0063,0.99962,0.00059946,0.083343,0.083343,0.083343,1.4141e-08,0,0,0,0,0.0001468,0.00040827,0,7.7385e-05,0,0,0,0,-0.0026822,0.3181,-0.29845,0.13155,-0.0077579,0.17482,-0.24908,0.067393,0.017777,0.39984,-0.39699,0.14117,1,0.066667,15,0.066667,1.5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9967,1.9967,1.9967,9.9986e-07,1.0019,1.0063,0.9996,0.00060406,166.26,166.26,166.26,2.8395e-05,0,0,0,0,0.00014523,0.00042113,0,7.7481e-05,0,0,0,0,0.0049041,0.31747,-0.30683,0.13369,-0.0090451,0.19383,-0.30194,0.080299,0.020152,0.42166,-0.35143,0.1439,1,0.083333,15,0.083333,1.5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9967,1.9967,1.9967,9.9986e-07,1.0019,1.0063,0.99958,0.00060871,332.89,332.89,332.89,5.6852e-05,0,0,0,0,0.00014367,0.00043405,0,7.7594e-05,0,0,0,0,0.012491,0.31689,-0.31515,0.13583,-0.010331,0.21277,-0.3548,0.093196,0.022524,0.44348,-0.30564,0.14661,1,0.1,15,0.1,1.5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9967,1.9967,1.9967,9.9986e-07,1.0019,1.0063,0.99955,0.0006113,333.56,333.56,333.56,5.6966e-05,0,0,0,0,0.0001442,0.00038665,0,7.1583e-05,0,0,0,0,0.019486,0.34521,-0.31107,0.1392,-0.01116,0.21765,-0.38307,0.10253,0.022298,0.45244,-0.30909,0.14821,1,0.11667,15,0.11667,1.5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9967,1.9967,1.9967,9.9986e-07,1.0019,1.0063,0.99951,0.00061389,333.56,333.56,333.56,5.6966e-05,0,0,0,0,0.00014475,0.000339,0,6.5547e-05,0,0,0,0,0.026478,0.37364,-0.30695,0.14257,-0.011988,0.22248,-0.41125,0.11184,0.022062,0.46134,-0.31273,0.14979,1,0.13333,15,0.13333,1.5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9967,1.9967,1.9967,9.9986e-07,1.0019,1.0063,0.99948,0.00061176,333.56,333.56,333.56,5.6966e-05,0,0,0,0,0.00014778,0.00034973,0,6.7608e-05,0,0,0,0,0.031454,0.39979,-0.31312,0.14509,-0.012608,0.22527,-0.41886,0.11848,0.019121,0.46621,-0.32144,0.14937,1,0.15,15,0.15,1.5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9967,1.9967,1.9967,9.9986e-07,1.0018,1.0063,0.99945,0.0006096,333.56,333.56,333.56,5.6966e-05,0,0,0,0,0.00015083,0.00036077,0,6.9713e-05,0,0,0,0,0.036418,0.42592,-0.31935,0.14761,-0.013227,0.22806,-0.42637,0.1251,0.016166,0.47105,-0.33017,0.14894,1,0.16667,15,0.16667,1.5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9967,1.9967,1.9967,9.9986e-07,1.0018,1.0063,0.99944,0.00061546,333.56,333.56,333.56,5.6966e-05,0,0,0,0,0.00015532,0.00043855,0,7.7052e-05,0,0,0,0,0.043752,0.44609,-0.30429,0.15119,-0.013888,0.24588,-0.44037,0.12975,0.011095,0.4523,-0.3331,0.14798,1,0.18333,15,0.18333,1.5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9967,1.9967,1.9967,9.9986e-07,1.0018,1.0063,0.99943,0.00062137,333.56,333.56,333.56,5.6966e-05,0,0,0,0,0.00015982,0.00051678,0,8.4427e-05,0,0,0,0,0.051101,0.46622,-0.28909,0.15478,-0.01455,0.2638,-0.45442,0.13439,0.0060084,0.43338,-0.33598,0.14702,1,0.2,15,0.2,1.5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9967,1.9967,1.9967,9.9986e-07,1.0018,1.0063,0.99947,0.00062554,333.56,333.56,333.56,5.6966e-05,0,0,0,0,0.00016441,0.00046561,0,8.1466e-05,0,0,0,0,0.060213,0.47449,-0.28044,0.1602,-0.015991,0.27672,-0.46712,0.13824,0.00023182,0.41459,-0.33831,0.14563,1,0.21667,15,0.21667,1.5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9967,1.9967,1.9967,9.9986e-07,1.0018,1.0063,0.99952,0.00062969,333.56,333.56,333.56,5.6966e-05,0,0,0,0,0.00016901,0.00041339,0,7.8423e-05,0,0,0,0,0.069339,0.48266,-0.27185,0.16563,-0.017437,0.28961,-0.47981,0.14209,-0.0055504,0.39579,-0.34064,0.14424,1,0.23333,15,0.23333,1.5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9967,1.9967,1.9967,9.9986e-07,1.0018,1.0063,0.99963,0.00063322,333.56,333.56,333.56,5.6966e-05,0,0,0,0,0.00017177,0.00046661,0,8.0285e-05,0,0,0,0,0.078881,0.52682,-0.26344,0.17132,-0.020292,0.30577,-0.49334,0.14518,-0.0094466,0.34938,-0.34232,0.14414,1,0.25,15,0.25,1.5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9967,1.9967,1.9967,9.9986e-07,1.0018,1.0063,0.99974,0.00063674,333.56,333.56,333.56,5.6966e-05,0,0,0,0,0.00017451,0.00052083,0,8.2193e-05,0,0,0,0,0.088427,0.57132,-0.25504,0.177,-0.023161,0.32197,-0.50689,0.14827,-0.013325,0.3027,-0.34399,0.14406,1,0.26667,15,0.26667,1.5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9967,1.9967,1.9967,9.9986e-07,1.0018,1.0062,0.99983,0.00063403,333.56,333.56,333.56,5.6966e-05,0,0,0,0,0.00018314,0.00056645,0,8.7169e-05,0,0,0,0,0.098303,0.59055,-0.26029,0.17911,-0.026822,0.32007,-0.51484,0.15111,-0.014501,0.33743,-0.35354,0.14702,1,0.28333,15,0.28333,1.5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9967,1.9967,1.9967,9.9986e-07,1.0018,1.0062,0.99993,0.00063125,333.56,333.56,333.56,5.6966e-05,0,0,0,0,0.00019183,0.00061198,0,9.2179e-05,0,0,0,0,0.10818,0.60952,-0.26569,0.18118,-0.030492,0.31797,-0.52273,0.15394,-0.015649,0.37304,-0.36318,0.15003,1,0.3,15,0.3,1.5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9967,1.9967,1.9967,9.9986e-07,1.0018,1.0061,0.99992,0.00062554,333.56,333.56,333.56,5.6966e-05,0,0,0,0,0.00019999,0.00061507,0,9.348e-05,0,0,0,0,0.1191,0.60431,-0.27074,0.18194,-0.033999,0.32285,-0.52376,0.15703,-0.014472,0.42399,-0.38111,0.15444,1,0.31667,15,0.31667,1.5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9967,1.9967,1.9967,9.9986e-07,1.0018,1.0061,0.99991,0.00061979,333.56,333.56,333.56,5.6966e-05,0,0,0,0,0.00020814,0.00061765,0,9.4736e-05,0,0,0,0,0.13003,0.5988,-0.27579,0.18269,-0.037504,0.32781,-0.52471,0.16013,-0.013268,0.47512,-0.39915,0.15888,1,0.33333,15,0.33333,1.5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9967,1.9967,1.9967,9.9986e-07,1.0018,1.0061,0.99987,0.00061389,333.56,333.56,333.56,5.6966e-05,0,0,0,0,0.00021016,0.00062657,0,9.7755e-05,0,0,0,0,0.13978,0.62248,-0.27622,0.18495,-0.040062,0.34051,-0.52355,0.16312,-0.010287,0.47676,-0.40023,0.1626,1,0.35,15,0.35,1.5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9967,1.9967,1.9967,9.9986e-07,1.0018,1.0061,0.99984,0.00060798,333.56,333.56,333.56,5.6966e-05,0,0,0,0,0.0002121,0.00063557,0,0.0001008,0,0,0,0,0.14951,0.64656,-0.27659,0.18722,-0.042606,0.35331,-0.52236,0.1661,-0.0072815,0.47773,-0.40108,0.16631,1,0.36667,15,0.36667,1.5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9967,1.9967,1.9967,9.9986e-07,1.0018,1.0061,0.99981,0.0006131,333.56,333.56,333.56,5.6966e-05,0,0,0,0,0.00021052,0.00062559,0,0.00010205,0,0,0,0,0.15802,0.62328,-0.27144,0.18904,-0.043997,0.36488,-0.50977,0.1692,-0.0037,0.45734,-0.37139,0.1661,1,0.38333,15,0.38333,1.5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9967,1.9967,1.9967,9.9986e-07,1.0018,1.0061,0.99978,0.00061838,333.56,333.56,333.56,5.6966e-05,0,0,0,0,0.00020889,0.00061533,0,0.00010327,0,0,0,0,0.16652,0.59929,-0.26621,0.19086,-0.045372,0.37642,-0.49702,0.1723,-0.00010985,0.43663,-0.34125,0.16583,1,0.4,15,0.4,1.5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9967,1.9967,1.9967,9.9986e-07,1.0018,1.0062,0.99973,0.0006221,333.56,333.56,333.56,5.6966e-05,0,0,0,0,0.00020449,0.00055613,0,9.6983e-05,0,0,0,0,0.1749,0.61258,-0.25608,0.19282,-0.047066,0.38513,-0.47785,0.17493,0.0015165,0.41415,-0.35283,0.16457,1,0.41667,15,0.41667,1.5
