"GxIBM_average","GxIBM_maximum","GxIBM_minimum","GxIBM_stddev","GyIBM_average","GyIBM_maximum","GyIBM_minimum","GyIBM_stddev","GzIBM_average","GzIBM_maximum","GzIBM_minimum","GzIBM_stddev","boundary1_average","boundary1_maximum","boundary1_minimum","boundary1_stddev","boundary2_average","boundary2_maximum","boundary2_minimum","boundary2_stddev","boundary3_average","boundary3_maximum","boundary3_minimum","boundary3_stddev","neiSolid_average","neiSolid_maximum","neiSolid_minimum","neiSolid_stddev","omega_average","omega_maximum","omega_minimum","omega_stddev","rho_average","rho_maximum","rho_minimum","rho_stddev","sdf_average","sdf_maximum","sdf_minimum","sdf_stddev","solid_average","solid_maximum","solid_minimum","solid_stddev","tauSGS_average","tauSGS_maximum","tauSGS_minimum","tauSGS_stddev","u0_average","u0_maximum","u0_minimum","u0_stddev","u_average","u_maximum","u_minimum","u_stddev","v_average","v_maximum","v_minimum","v_stddev","w_average","w_maximum","w_minimum","w_stddev","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3.3854e-08,0,0,0,0,0,0,0,0,1.9967,1.9967,1.9967,9.9986e-07,1.0009,1.0014,0.99705,0.00054055,0.016677,0.016677,0.016677,5.3066e-09,0,0,0,0,0.00012403,0.0014433,0,0.00015675,0,0,0,0,-0.024103,0.043041,-0.47565,0.054431,0.0011476,0.011819,-0.021676,0.0032699,-0.00077489,0.14735,-0.067714,0.027502,1,0,12,0,1.5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.50034,0.50034,0.50034,1.6938e-08,0,0,0,0,0,0,0,0,1.9967,1.9967,1.9967,9.9986e-07,1.0009,1.0013,0.99686,0.00051633,0.033344,0.033344,0.033344,8.854e-09,0,0,0,0,0.00011802,0.0009229,0,0.00011273,0,0,0,0,-0.046513,0.07002,-0.71921,0.085226,0.0042858,0.036738,-0.073207,0.011204,-0.0012933,0.25487,-0.12714,0.048604,1,0.016667,12,0.016667,1.5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00066751,0.00066751,0.00066751,2.2597e-11,0,0,0,0,0,0,0,0,1.9967,1.9967,1.9967,9.9986e-07,1.0008,1.0012,0.99667,0.0004921,0.050011,0.050011,0.050011,1.2401e-08,0,0,0,0,0.00011201,0.00040255,0,6.8703e-05,0,0,0,0,-0.068923,0.096999,-0.96276,0.11602,0.0074241,0.061658,-0.12474,0.019139,-0.0018117,0.36238,-0.18658,0.069705,1,0.033333,12,0.033333,1.5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9967,1.9967,1.9967,9.9986e-07,1.0008,1.0012,0.99681,0.00049239,0.066677,0.066677,0.066677,1.3273e-08,0,0,0,0,0.00010859,0.00035658,0,6.1965e-05,0,0,0,0,-0.086707,0.10196,-0.95745,0.12216,0.01215,0.088571,-0.18329,0.028934,-0.0029865,0.40422,-0.23056,0.080428,1,0.05,12,0.05,1.5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9967,1.9967,1.9967,9.9986e-07,1.0008,1.0012,0.99695,0.0004927,0.083343,0.083343,0.083343,1.4141e-08,0,0,0,0,0.00010517,0.00031124,0,5.5278e-05,0,0,0,0,-0.10449,0.1069,-0.9518,0.12827,0.016877,0.11549,-0.24186,0.038731,-0.0041623,0.44596,-0.27453,0.091138,1,0.066667,12,0.066667,1.5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9967,1.9967,1.9967,9.9986e-07,1.0008,1.0012,0.99693,0.00050795,166.26,166.26,166.26,2.8395e-05,0,0,0,0,0.0001031,0.00028604,0,5.2784e-05,0,0,0,0,-0.11712,0.10687,-0.95032,0.1321,0.021755,0.14207,-0.28385,0.047008,-0.0057736,0.43718,-0.26456,0.093172,1,0.083333,12,0.083333,1.5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9967,1.9967,1.9967,9.9986e-07,1.0008,1.0012,0.99691,0.00052324,332.89,332.89,332.89,5.6852e-05,0,0,0,0,0.00010104,0.0002609,0,5.0301e-05,0,0,0,0,-0.12975,0.10683,-0.94886,0.13593,0.026634,0.16865,-0.32579,0.055281,-0.0073861,0.42827,-0.25444,0.095183,1,0.1,12,0.1,1.5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9967,1.9967,1.9967,9.9986e-07,1.0008,1.0012,0.99677,0.00053433,333.56,333.56,333.56,5.6966e-05,0,0,0,0,9.8606e-05,0.00025499,0,4.6779e-05,0,0,0,0,-0.13817,0.1126,-0.95439,0.13849,0.03125,0.18827,-0.35004,0.061428,-0.0083886,0.39791,-0.23571,0.09359,1,0.11667,12,0.11667,1.5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9967,1.9967,1.9967,9.9986e-07,1.0008,1.0012,0.99663,0.00054541,333.56,333.56,333.56,5.6966e-05,0,0,0,0,9.6169e-05,0.00024916,0,4.3253e-05,0,0,0,0,-0.14657,0.11839,-0.95996,0.14105,0.035865,0.20787,-0.37421,0.067566,-0.0093885,0.36747,-0.21694,0.091983,1,0.13333,12,0.13333,1.5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9967,1.9967,1.9967,9.9986e-07,1.0008,1.0012,0.99652,0.00055605,333.56,333.56,333.56,5.6966e-05,0,0,0,0,9.7052e-05,0.00024526,0,4.4183e-05,0,0,0,0,-0.15202,0.11504,-0.96914,0.14287,0.040328,0.21874,-0.37828,0.070984,-0.0095625,0.34546,-0.22484,0.089814,1,0.15,12,0.15,1.5
