"u","v","w","rho","tauSGS","boundary1","boundary2","boundary3","sdf","solid","neiSolid","GxIBM","GyIBM","GzIBM","omega","Points:0","Points:1","Points:2"
-0.19751,0.067157,0,0.99983,0,0,0,0,101.01,0,0,0,0,0,1.542,0.5,0.52525,0
-0.19329,0.07106,0,0.99981,0,0,0,0,101.01,0,0,0,0,0,1.542,0.5,0.53535,0
-0.18844,0.074949,0,0.99979,0,0,0,0,101.01,0,0,0,0,0,1.542,0.5,0.54545,0
-0.18297,0.078803,0,0.99977,0,0,0,0,101.01,0,0,0,0,0,1.542,0.5,0.55555,0
-0.17689,0.082598,0,0.99975,0,0,0,0,101.01,0,0,0,0,0,1.542,0.5,0.56566,0
-0.17021,0.086311,1.8629e-08,0.99974,0,0,0,0,101.01,0,0,0,0,0,1.542,0.5,0.57576,0
-0.16293,0.089918,1.8633e-08,0.99971,0,0,0,0,101.01,0,0,0,0,0,1.542,0.5,0.58586,0
-0.15507,0.093399,1.8634e-08,0.9997,0,0,0,0,101.01,0,0,0,0,0,1.542,0.5,0.59596,0
-0.14664,0.096728,-1.863e-08,0.99968,0,0,0,0,101.01,0,0,0,0,0,1.542,0.5,0.60606,0
-0.13766,0.099882,0,0.99966,0,0,0,0,101.01,0,0,0,0,0,1.542,0.5,0.61616,0
-0.12815,0.10284,-1.8635e-08,0.99965,0,0,0,0,101.01,0,0,0,0,0,1.542,0.5,0.62626,0
-0.11814,0.10557,1.8635e-08,0.99963,0,0,0,0,101.01,0,0,0,0,0,1.542,0.5,0.63636,0
-0.10764,0.10807,-3.7263e-08,0.99961,0,0,0,0,101.01,0,0,0,0,0,1.542,0.5,0.64646,0
-0.096665,0.1103,-1.8632e-08,0.9996,0,0,0,0,101.01,0,0,0,0,0,1.542,0.5,0.65657,0
-0.085241,0.11225,0,0.99959,0,0,0,0,101.01,0,0,0,0,0,1.542,0.5,0.66667,0
-0.073381,0.11389,-3.7264e-08,0.99958,0,0,0,0,101.01,0,0,0,0,0,1.542,0.5,0.67677,0
-0.061098,0.11522,-1.8636e-08,0.99957,0,0,0,0,101.01,0,0,0,0,0,1.542,0.5,0.68687,0
-0.048401,0.1162,0,0.99955,0,0,0,0,101.01,0,0,0,0,0,1.542,0.5,0.69697,0
-0.035291,0.11683,-1.8637e-08,0.99955,0,0,0,0,101.01,0,0,0,0,0,1.542,0.5,0.70707,0
-0.021764,0.11708,0,0.99954,0,0,0,0,101.01,0,0,0,0,0,1.542,0.5,0.71717,0
-0.0078059,0.11694,0,0.99954,0,0,0,0,101.01,0,0,0,0,0,1.542,0.5,0.72727,0
0.0066063,0.11639,-1.8633e-08,0.99952,0,0,0,0,101.01,0,0,0,0,0,1.542,0.5,0.73737,0
0.021508,0.11542,0,0.99952,0,0,0,0,101.01,0,0,0,0,0,1.542,0.5,0.74747,0
0.036949,0.11403,0,0.99952,0,0,0,0,101.01,0,0,0,0,0,1.542,0.5,0.75757,0
0.052998,0.11218,1.8637e-08,0.99952,0,0,0,0,101.01,0,0,0,0,0,1.542,0.5,0.76768,0
0.069734,0.10988,1.8637e-08,0.99952,0,0,0,0,101.01,0,0,0,0,0,1.542,0.5,0.77778,0
0.087268,0.10712,0,0.99952,0,0,0,0,101.01,0,0,0,0,0,1.542,0.5,0.78788,0
0.10572,0.10389,-1.8634e-08,0.99952,0,0,0,0,101.01,0,0,0,0,0,1.542,0.5,0.79798,0
0.12526,0.10018,3.7274e-08,0.99952,0,0,0,0,101.01,0,0,0,0,0,1.542,0.5,0.80808,0
0.14604,0.096007,0,0.99953,0,0,0,0,101.01,0,0,0,0,0,1.542,0.5,0.81818,0
0.16828,0.091369,-1.8637e-08,0.99954,0,0,0,0,101.01,0,0,0,0,0,1.542,0.5,0.82828,0
0.19221,0.08628,-1.8637e-08,0.99954,0,0,0,0,101.01,0,0,0,0,0,1.542,0.5,0.83838,0
0.21808,0.080766,-1.8633e-08,0.99955,0,0,0,0,101.01,0,0,0,0,0,1.542,0.5,0.84848,0
0.24617,0.074854,1.8637e-08,0.99955,0,0,0,0,101.01,0,0,0,0,0,1.542,0.5,0.85859,0
0.27676,0.068589,1.8632e-08,0.99956,0,0,0,0,101.01,0,0,0,0,0,1.542,0.5,0.86869,0
0.31015,0.062028,-1.8636e-08,0.99957,0,0,0,0,101.01,0,0,0,0,0,1.542,0.5,0.87879,0
0.34663,0.055243,0,0.99958,0,0,0,0,101.01,0,0,0,0,0,1.542,0.5,0.88889,0
0.38647,0.048324,-3.7268e-08,0.99959,0,0,0,0,101.01,0,0,0,0,0,1.542,0.5,0.89899,0
0.42988,0.041373,0,0.9996,0,0,0,0,101.01,0,0,0,0,0,1.542,0.5,0.90909,0
0.47702,0.034514,-3.7263e-08,0.99961,0,0,0,0,101.01,0,0,0,0,0,1.542,0.5,0.91919,0
0.52797,0.027879,-1.8635e-08,0.99961,0,0,0,0,101.01,0,0,0,0,0,1.542,0.5,0.92929,0
0.58268,0.021622,-1.8631e-08,0.99963,0,0,0,0,101.01,0,0,0,0,0,1.542,0.5,0.93939,0
0.64097,0.015895,-1.8635e-08,0.99965,0,0,0,0,101.01,0,0,0,0,0,1.542,0.5,0.94949,0
0.70247,0.010857,1.8631e-08,0.99965,0,0,0,0,101.01,0,0,0,0,0,1.542,0.5,0.9596,0
0.76663,0.0066567,-3.7265e-08,0.99966,0,0,0,0,101.01,0,0,0,0,0,1.542,0.5,0.9697,0
0.83271,0.0034217,0,0.99968,0,0,0,0,101.01,0,0,0,0,0,1.542,0.5,0.9798,0
0.89979,0.0012466,1.863e-08,0.99971,0,0,0,0,101.01,0,0,0,0,0,1.542,0.5,0.9899,0
0.96672,0.00017315,0,0.99978,0,0,1,0,101.01,0,0,0,0,0,1.542,0.5,1,0
